MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	±¸×¢
340	1	1	1	1	1	1	1	1									M¹c Cao QuËt
341	1	1	1	4	4	4	4	4									M¹c B¾c Th¶o Nguyªn
345	1	1	1	1	3	3	3	3									Thµnh trÊn (trung cÊp) 
346	1	1	3	3	2	2	2	2									Thµnh trÊn (cao cÊp) 
348	1	1	1	1	3	3	3	3									S¬n cèc (trung cÊp) 
349	1	1	3	3	2	2	2	2									S¬n cèc (cao cÊp) 
351	1	1	1	1	3	3	3	3									Th©m l©m (trung cÊp) 
352	1	1	3	3	2	2	2	2									Th©m l©m (cao cÊp) 
354	1	1	1	1	3	3	3	3									Doanh tr¹i (trung cÊp) 
355	1	1	3	3	2	2	2	2									Doanh tr¹i (cao cÊp) 
358	1	1	1	1	3	3	3	3									§¬n ®Êu B×nh nguyªn (Trung cÊp) 
359	1	1	3	3	2	2	2	2									§¬n ®Êu B×nh nguyªn (Cao cÊp) 
361	1	1	1	1	3	3	3	3									§¬n ®Êu Hµ t©n (Trung cÊp) 
362	1	1	3	3	2	2	2	2									§¬n ®Êu Hµ t©n (Cao cÊp) 
364	1	1	1	1	3	3	3	3									§¬n ®Êu Th©m l©m (Trung cÊp) 
365	1	1	3	3	2	2	2	2									§¬n ®Êu Th©m l©m (Cao cÊp) 
367	1	1	1	1	3	3	3	3									§¬n ®Êu S¬n cèc (Trung cÊp) 
368	1	1	3	3	2	2	2	2									§¬n ®Êu S¬n cèc (Cao cÊp) 
370	1	1	1	1	3	3	3	3									§¬n ®Êu Thµnh trÊn (Trung cÊp) 
371	1	1	3	3	2	2	2	2									§¬n ®Êu Thµnh trÊn (Cao cÊp) 
373	1	1	1	1	3	3	3	3									§¬n ®Êu Doanh tr¹i (Trung cÊp) 
374	1	1	3	3	2	2	2	2									§¬n ®Êu Doanh tr¹i (Cao cÊp) 
376	1	1	1	1	3	3	3	3									ChiÕn tr­êng Tèng Kim cò (trung cÊp) 
377	1	1	3	3	2	2	2	2									ChiÕn tr­êng Tèng Kim (cao cÊp) 
379	1	1	1	1	3	3	3	3									Xung phong (Trung cÊp) 
380	1	1	3	3	2	2	2	2									Xung phong (Cao cÊp) 
382	1	1	1	1	3	3	3	3									Th©m l©m (trung cÊp) 
383	1	1	3	3	2	2	2	2									Th©m l©m (cao cÊp) 
385	1	1	1	1	3	3	3	3									CÇu ranh giíi (trung cÊp) 
386	1	1	3	3	2	2	2	2									CÇu ranh giíi (cao cÊp)
393	1	1	2	2	1	1	1	1									Thiªn B¶o khè (trªn 120)
394	1	1	2	2	1	1	1	1									Thiªn B¶o khè (trªn 120)
395	1	1	2	2	1	1	1	1									Thiªn B¶o khè (trªn 120) 
416	1	1	1	1	1	1	1	1									ThuyÒn Rång s¬ cÊp (1) 
417	1	1	1	1	2	2	2	2									ThuyÒn Rång s¬ cÊp (2) 
418	1	1	2	2	3	3	3	3									ThuyÒn Rång s¬ cÊp (3) 
419	1	1	2	2	4	4	4	4									ThuyÒn Rång s¬ cÊp (4) 
424	1	1	1	1	1	1	1	1									ThuyÒn Rång cao cÊp (1) 
425	1	1	1	1	1	1	1	1									ThuyÒn Rång cao cÊp (2) 
426	1	1	1	1	2	2	2	2									ThuyÒn Rång cao cÊp (3) 
427	1	1	1	1	2	2	2	2									ThuyÒn Rång cao cÊp (4) 
428	1	1	2	2	3	3	3	3									ThuyÒn Rång cao cÊp (5) 
429	1	1	2	2	3	3	3	3									ThuyÒn Rång cao cÊp (6) 
430	1	1	2	2	4	4	4	4									ThuyÒn Rång cao cÊp (7) 
431	1	1	2	2	4	4	4	4									ThuyÒn Rång cao cÊp (8) 
440	1	1	1	1	1	1	1	1									ThuyÒn Rång s¬ cÊp (9) 
441	1	1	1	1	2	2	2	2									ThuyÒn Rång s¬ cÊp (10) 
442	1	1	2	2	3	3	3	3									ThuyÒn Rång s¬ cÊp (11) 
443	1	1	2	2	4	4	4	4									ThuyÒn Rång s¬ cÊp (12) 
448	1	1	1	1	1	1	1	1									ThuyÒn Rång cao cÊp (17) 
449	1	1	1	1	1	1	1	1									ThuyÒn Rång cao cÊp (18) 
450	1	1	1	1	2	2	2	2									ThuyÒn Rång cao cÊp (19) 
451	1	1	1	1	2	2	2	2									ThuyÒn Rång cao cÊp (20) 
452	1	1	2	2	3	3	3	3									ThuyÒn Rång cao cÊp (21) 
453	1	1	2	2	3	3	3	3									ThuyÒn Rång cao cÊp (22) 
454	1	1	2	2	4	4	4	4									ThuyÒn Rång cao cÊp (23) 
455	1	1	2	2	4	4	4	4									ThuyÒn Rång cao cÊp (24) 
464	1	1	1	1	1	1	1	1									Th¸ch thøc thêi gian (S¬ cÊp 1) 
465	1	1	1	1	1	1	1	1									Th¸ch thøc thêi gian (S¬ cÊp 2) 
466	1	1	2	2	2	2	2	2									Th¸ch thøc thêi gian (S¬ cÊp 3) 
467	1	1	2	2	3	3	3	3									Th¸ch thøc thêi gian (S¬ cÊp 4) 
468	1	1	3	3	4	4	4	4									Th¸ch thøc thêi gian (S¬ cÊp 5) 
480	1	1	1	1	1	1	1	1									Th¸ch thøc thêi gian (Cao cÊp 1) 
481	1	1	1	1	1	1	1	1									Th¸ch thøc thêi gian (Cao cÊp 2) 
482	1	1	1	1	1	1	1	1									Th¸ch thøc thêi gian (Cao cÊp 3) 
483	1	1	1	1	1	1	1	1									Th¸ch thøc thêi gian (Cao cÊp 4) 
484	1	1	2	2	2	2	2	2									Th¸ch thøc thêi gian (Cao cÊp 5) 
485	1	1	2	2	2	2	2	2									Th¸ch thøc thêi gian (Cao cÊp 6) 
486	1	1	2	2	3	3	3	3									Th¸ch thøc thêi gian (Cao cÊp 7) 
487	1	1	2	2	3	3	3	3									Th¸ch thøc thêi gian (Cao cÊp 8) 
488	1	1	3	3	4	4	4	4									Th¸ch thøc thêi gian (Cao cÊp 9) 
489	1	1	3	3	4	4	4	4									Th¸ch thøc thêi gian (Cao cÊp 10) 
512	1	1	1	1	3	3	3	3									V©n Trung §¹o
513	1	1	1	4	2	2	2	2									B¸ch Hoa Cèc
515	1	1	2	2	4	4	4	4									Tö Hµ LÜnh
516	1	1	2	2	3	3	3	3									Thñ thµnh phe Tèng
517	1	1	1	1	2	2	2	2									Thñ thµnh phe Kim
518	1	1	2	2	3	3	3	3									B¸o danh thñ thµnh phe Tèng
519	1	1	1	1	2	2	2	2									B¸o danh thñ thµnh phe Kim
521	1	1	1	1	1	1	1	1									Minh NguyÖt trÊn (Thµnh §«) 
523	1	1	2	2	4	4	4	4									Minh NguyÖt trÊn (T­¬ng D­¬ng) 
524	1	1	2	2	3	3	3	3									Minh NguyÖt trÊn (D­¬ng Ch©u) 
525	1	1	1	1	2	2	2	2									Minh NguyÖt trÊn (§¹i Lý) 
527	1	1	1	1	2	2	2	2									Khu vùc liªn ®Êu (1) 
528	1	1	2	2	3	3	3	3									Khu vùc liªn ®Êu (2) 
531	1	1	1	1	2	2	2	2									ChuÈn bÞ liªn ®Êu (1)
532	1	1	2	2	3	3	3	3									ChuÈn bÞ liªn ®Êu (2)
535	1	1	1	1	2	2	2	2									§Êu tr­êng liªn ®Êu (1)
536	1	1	2	2	3	3	3	3									§Êu tr­êng liªn ®Êu (2)
540	1	1	3	3	2	2	2	2									Héi tr­êng liªn ®Êu (1)
541	1	1	3	3	2	2	2	2									§Êu tr­êng liªn ®Êu (1)
542	1	1	3	3	2	2	2	2									Héi tr­êng liªn ®Êu (2)
543	1	1	3	3	2	2	2	2									§Êu tr­êng liªn ®Êu (2)
544	1	1	3	3	2	2	2	2									Héi tr­êng liªn ®Êu (3)
545	1	1	3	3	2	2	2	2									§Êu tr­êng liªn ®Êu (3)
546	1	1	3	3	2	2	2	2									Héi tr­êng liªn ®Êu (4)
547	1	1	3	3	2	2	2	2									§Êu tr­êng liªn ®Êu (4)
548	1	1	3	3	2	2	2	2									Héi tr­êng liªn ®Êu (5)
549	1	1	3	3	2	2	2	2									§Êu tr­êng liªn ®Êu (5)
550	1	1	1	4	3	3	3	3									Héi tr­êng liªn ®Êu (6)
551	1	1	1	4	3	3	3	3									§Êu tr­êng liªn ®Êu (6)
552	1	1	1	4	3	3	3	3									Héi tr­êng liªn ®Êu (7)
553	1	1	1	4	3	3	3	3									§Êu tr­êng liªn ®Êu (7)
554	1	1	1	4	3	3	3	3									Héi tr­êng liªn ®Êu (8)
555	1	1	1	4	3	3	3	3									§Êu tr­êng liªn ®Êu (8)
556	1	1	1	4	3	3	3	3									Héi tr­êng liªn ®Êu (9)
557	1	1	1	4	3	3	3	3									§Êu tr­êng liªn ®Êu (9)
558	1	1	1	4	3	3	3	3									Héi tr­êng liªn ®Êu (10)
559	1	1	1	4	3	3	3	3									§Êu tr­êng liªn ®Êu (10)
570	1	1	3	3	2	2	2	2									HËu tr­êng liªn ®Êu (1)
571	1	1	3	3	2	2	2	2									HËu tr­êng liªn ®Êu (2)
572	1	1	3	3	2	2	2	2									HËu tr­êng liªn ®Êu (3)
573	1	1	3	3	2	2	2	2									HËu tr­êng liªn ®Êu (4)
574	1	1	3	3	2	2	2	2									HËu tr­êng liªn ®Êu (5)
575	1	1	1	4	3	3	3	3									HËu tr­êng liªn ®Êu (6)
576	1	1	1	4	3	3	3	3									HËu tr­êng liªn ®Êu (7)
577	1	1	1	4	3	3	3	3									HËu tr­êng liªn ®Êu (8)
578	1	1	1	4	3	3	3	3									HËu tr­êng liªn ®Êu (9)
579	1	1	1	4	3	3	3	3									HËu tr­êng liªn ®Êu (10)
580	1	1	2	2	3	3	3	3									ChiÕn tr­êng phe Tèng
581	1	1	1	1	2	2	2	2									ChiÕn tr­êng phe Kim
582	1	1	2	2	3	3	3	3									Hang Gi¸ng Sinh_Khu vùc chuÈn bÞ
583	1	1	2	2	3	3	3	3									Hang Gi¸ng Sinh
586	1	1	1	1	1	1	1	1									Khu vùc bang héi chung 1
587	1	1	1	1	1	1	1	1									Khu vùc bang héi S¬n Thµnh
588	1	1	2	2	2	2	2	4									Khu vùc bang héi Miªu C­¬ng
595	1	1	2	2	2	2	2	4									Khu vùc bang héi chung 2
605	1	1	2	2	2	2	2	2									ChiÕn tr­êng MËt L©m
606	1	1	3	3	3	3	3	3									ChiÕn tr­êng MËt L©m
607	1	1	1	4	4	4	4	4									ChiÕn tr­êng MËt L©m
608	1	1	2	2	2	2	2	2									Khu vùc chuÈn bÞ
609	1	1	2	2	2	2	2	2									Khu vùc chuÈn bÞ
610	1	1	3	3	3	3	3	3									Khu vùc chuÈn bÞ
611	1	1	3	3	3	3	3	3									Khu vùc chuÈn bÞ
612	1	1	1	4	4	4	4	4									Khu vùc chuÈn bÞ
613	1	1	1	4	4	4	4	4									Khu vùc chuÈn bÞ
825	1	1	2	2	3	3	3	3									Khu vùc chuÈn bÞ - TÕt §oan Ngä
826	1	1	2	2	3	3	3	3									Khu vùc TÕt §oan Ngä
829	1	1	1	1	1	1	1	1									Tr­êng Ca M«n cÊm ®Þa
849	1	1	1	1	2	2	2	2									Khu vùc chuÈn bÞ - TÕt §oan Ngä
850	1	1	1	1	2	2	2	2									Khu vùc TÕt §oan Ngä
869	1	1	1	1	3	3	3	3									ChiÕn tr­êng Hoang M¹c (trung)
870	1	1	3	3	2	2	2	2									ChiÕn tr­êng Hoang M¹c (cao)
877	1	1	1	1	3	3	3	3									Cæ thµnh (trung cÊp)
878	1	1	3	3	2	2	2	2									Cæ thµnh (cao cÊp)
887	1	1	1	1	3	3	3	3									»ÄÊ¯Áë³åÍ»Õ½£¨ÖÐ£©
888	1	1	3	3	2	2	2	2									»ÄÊ¯Áë³åÍ»Õ½£¨¸ß£©
890	1	1	1	1	3	3	3	3									ÓñÁÖ×è»÷Õ½£¨ÖÐ£©
891	1	1	3	3	2	2	2	2									ÓñÁÖ×è»÷Õ½£¨¸ß£©
892	1	1	2	2	3	3	3	3									èóµºÃØ¾³
894	1	1	1	1	2	2	2	2									ÍÚ±¦»î¶¯
898	1	1	3	3	2	2	2	2									Quèc chiÕn Giíi KiÒu chiÕn
899	1	1	3	3	2	2	2	2									Quèc chiÕn MËt L©m chiÕn
900	1	1	3	3	2	2	2	2									Quèc chiÕn Hoµng Sa L©m
933	1	1	1	1	1	1	1	1		1							¹¥³ÇÕ½³É¶¼Õ½³¡
928	1	1	1	1	2	2	2	2		2							ChiÕn tr­êng C«ng Thµnh ChiÕn §¹i Lý
931	1	1	2	2	4	4	4	4		4							ChiÕn tr­êng C«ng Thµnh ChiÕn T­¬ng D­¬ng
932	1	1	2	2	3	3	3	3		3							ChiÕn tr­êng C«ng Thµnh ChiÕn D­¬ng Ch©u
949	1	1	2	2	3	3	3	3		3							ThÝ KiÕm Cèc
968	1	1	2	2	3	3	3	3		3							NguyÖt Ca §¶o
969	1	1	2	2	3	3	3	3		3							NguyÖt Ca MËt Cèc
973	1	1	1	1	3	3	3	3		3							§iÓm b¸o danh liªn server 2
974	1	1	3	3	2	2	2	2		2							§iÓm b¸o danh liªn server 3
979	1	1	1	1	1	1	1	1		1							Bang héi thµnh b¶o
980	1	1	1	1	2	2	2	2		2							Bang héi thµnh b¶o
